dim1,dim2,label
58.83178,28.965612,0.0
10.439301,-67.02126,0.0
67.54978,8.365511,0.0
14.125589,-58.24922,1.0
-20.25613,-14.262618,1.0
-4.021647,-58.84828,0.0
37.645935,52.36693,1.0
63.88995,29.648642,0.0
6.6201916,-40.68871,0.0
-44.02658,52.14077,1.0
-27.756348,-60.96383,0.0
4.200366,-28.972635,0.0
7.8676887,-27.238228,1.0
56.87634,11.359676,0.0
0.18253185,-62.768974,0.0
-21.184044,-22.509611,1.0
-29.454063,-20.258919,0.0
-52.53005,-17.006706,0.0
5.087095,58.41594,0.0
0.5153901,24.069954,0.0
-54.4709,44.20037,0.0
-7.3201957,53.69818,1.0
-52.72207,48.81792,0.0
7.6893725,4.0254965,0.0
-41.086517,54.89873,0.0
11.18994,-1.4340503,0.0
5.0460896,-22.667042,1.0
-13.377171,-24.276167,0.0
-0.3385106,31.091553,0.0
-25.868372,-18.618216,0.0
-3.6920052,-39.464333,0.0
53.003605,10.449885,0.0
12.192978,-6.898124,0.0
2.1327753,-36.38387,0.0
11.156479,-3.292047,0.0
-3.4591548,25.947363,0.0
-19.89125,-18.203373,1.0
-2.4780214,34.48736,0.0
50.799072,-0.3769793,0.0
54.830803,23.50475,0.0
8.621553,-42.60059,0.0
-3.375224,15.902697,0.0
33.14023,-5.9064016,0.0
-26.76245,-53.384937,0.0
-19.112562,-64.68656,0.0
10.494902,60.035378,1.0
62.48071,13.139117,0.0
-3.6614423,3.46207,0.0
-27.851404,52.87037,1.0
18.15622,-55.4643,0.0
10.445128,-66.979454,0.0
-30.647741,10.121487,0.0
-30.04198,38.10209,0.0
53.077164,28.674248,0.0
-53.356373,-27.5461,0.0
41.55987,26.823687,0.0
46.47084,30.605055,1.0
-11.673688,53.937332,0.0
45.995678,50.015656,0.0
51.251434,23.289568,0.0
22.787981,-18.06118,0.0
-25.65939,-43.85603,0.0
-29.754572,-13.808599,0.0
-3.8270307,26.243328,0.0
-13.559434,27.812046,1.0
-4.5818076,32.45683,0.0
9.798315,4.789491,0.0
58.11027,12.18533,0.0
-52.18405,21.765274,0.0
46.017357,24.873003,0.0
10.306233,-56.069485,1.0
62.753853,8.687297,0.0
27.207138,43.658848,1.0
-4.667019,-12.248365,0.0
22.592852,-1.5557185,0.0
-18.864716,9.556619,0.0
29.296837,-29.17923,0.0
1.9777476,-1.4885371,0.0
0.34567985,37.55298,0.0
2.2527661,36.490444,0.0
-32.13706,-44.41286,0.0
42.11865,49.06845,1.0
18.802364,1.3146559,0.0
22.725164,-4.448155,0.0
12.709987,20.594961,1.0
-21.023548,-63.07306,1.0
3.1706393,-48.86921,0.0
9.870374,55.06035,0.0
71.163345,12.323433,1.0
14.345358,64.109276,0.0
-21.809992,-64.36032,1.0
-47.056858,-2.192564,0.0
13.111752,-48.59392,0.0
-18.196808,-30.380367,0.0
-14.378533,-12.9403715,1.0
-4.9038153,-33.988014,1.0
68.17285,6.4441714,0.0
12.191856,65.5731,0.0
49.12183,16.598717,0.0
38.492767,50.93466,1.0
-0.65778065,-51.88556,0.0
4.4841228,-9.175393,0.0
19.957512,-50.287586,0.0
-6.580775,-38.5007,0.0
12.319191,5.680816,0.0
-28.787977,8.168915,0.0
-27.425873,7.0800257,0.0
46.640522,14.125526,0.0
76.874886,10.885097,1.0
-29.851059,-0.35800484,1.0
-6.8402605,19.71852,0.0
21.57341,-52.342686,0.0
-32.099995,45.967243,1.0
-57.840458,-8.863734,0.0
-33.716717,26.56287,0.0
-21.875353,-49.605404,0.0
75.25334,11.412564,1.0
-53.626835,24.227652,0.0
11.620319,58.16916,1.0
-11.916105,-51.87126,0.0
45.297638,49.89964,0.0
-46.928543,51.616985,1.0
-5.7693467,-45.709892,0.0
60.648502,-2.953158,0.0
