dim1,dim2,label
3.6279037,-30.326319,0.0
30.251736,-3.5699384,0.0
42.16518,-24.816076,1.0
39.140636,-45.098465,1.0
-44.805706,28.151423,1.0
59.401394,15.547771,0.0
-24.336823,56.724834,0.0
36.39931,-15.110949,1.0
-36.870346,-21.601425,0.0
41.410107,-28.17389,0.0
43.77124,-5.9394984,1.0
14.619466,11.833554,0.0
-37.3436,-13.535217,0.0
24.806438,15.198669,0.0
7.936265,5.446744,0.0
-30.136324,62.06619,0.0
-19.082106,27.082893,0.0
-17.7909,9.439195,0.0
-41.73614,-12.547014,0.0
-14.9463215,48.270683,1.0
3.3085093,31.108654,0.0
55.186493,-11.685031,0.0
-14.255593,-41.38731,1.0
10.846257,-36.320625,0.0
43.611248,32.313946,0.0
-0.74777424,37.933483,1.0
0.15935878,-40.129875,0.0
55.28252,13.242182,0.0
31.911253,6.3896446,0.0
-51.647675,28.203373,0.0
3.9274075,-55.402905,0.0
15.610308,-57.362648,0.0
15.084834,-45.798325,0.0
-60.714485,15.64305,0.0
34.90206,25.088013,0.0
6.055435,-38.231785,0.0
0.64366883,-1.5366217,0.0
34.448547,31.618807,1.0
37.984528,26.789148,0.0
19.818417,-17.664608,0.0
-2.8548713,-50.806705,0.0
19.041656,-26.417217,0.0
-28.649597,31.143951,0.0
35.469467,12.968584,1.0
-46.70947,40.025406,0.0
6.43086,7.8783383,0.0
4.859845,-16.766256,0.0
0.56781644,-5.854661,0.0
-8.393589,15.392112,0.0
-38.60184,42.088,0.0
-41.128056,-1.4381055,0.0
-19.25377,51.918827,0.0
37.46853,6.869336,0.0
-3.1472168,-62.077568,1.0
36.93132,-41.952793,0.0
35.709267,-8.022314,0.0
-54.93346,39.62973,0.0
-18.50757,-3.9471931,0.0
9.317814,38.46707,0.0
39.264633,21.11563,0.0
-14.393184,-43.45995,0.0
-6.7345986,-53.183704,1.0
-33.466988,-44.06066,1.0
-68.09626,22.209272,0.0
-38.153557,-46.64708,1.0
26.06962,23.054031,0.0
-48.5016,-15.698718,0.0
-31.153841,61.716183,0.0
13.741567,-54.3569,0.0
-27.372105,-41.038082,0.0
16.663912,-13.585432,0.0
20.196266,-13.481154,0.0
-28.2091,-30.896742,0.0
24.98112,22.585312,0.0
50.384586,16.081472,0.0
-2.4533842,59.943554,0.0
-27.64746,31.226067,0.0
18.364912,-33.69789,1.0
-0.6025168,11.366466,0.0
-24.342617,-10.646896,0.0
-20.468071,27.861647,0.0
-1.195417,37.92335,1.0
25.856222,25.730751,0.0
33.841526,7.411915,0.0
-52.329998,22.989151,1.0
21.514122,34.75385,0.0
8.016014,20.655634,0.0
6.827276,-60.87914,0.0
31.589245,5.470911,0.0
40.940117,-5.4730086,1.0
-44.09077,-12.549901,0.0
-32.44266,26.512316,1.0
26.216105,44.32118,1.0
56.098885,-25.822624,1.0
11.741872,7.1591525,0.0
30.940174,26.86216,1.0
7.7548623,-40.247135,0.0
20.980007,-24.095196,0.0
-17.87741,38.293644,1.0
24.143404,-15.910802,1.0
17.501944,6.089444,0.0
62.221905,-16.623774,1.0
62.019012,7.7093916,1.0
-47.70071,44.958496,0.0
-12.427919,-10.288196,0.0
-8.0418415,-28.151276,0.0
-37.592415,51.06775,0.0
-42.716633,28.381023,0.0
-22.152925,-5.771763,0.0
2.4206638,-44.275566,0.0
-36.469994,57.488274,0.0
57.711185,20.410355,0.0
-65.45097,14.117612,1.0
7.6273656,5.5865846,0.0
-60.064766,31.731962,0.0
-22.830568,24.842953,0.0
3.0869813,3.7932518,0.0
17.387209,-46.502136,1.0
-17.727331,38.080704,1.0
-66.64221,24.941874,1.0
-37.257042,8.259121,0.0
-51.299816,36.907795,0.0
-58.71779,32.615097,0.0
-21.399664,22.747519,0.0
-42.408115,-26.153994,1.0
48.737953,-1.1298269,0.0
37.847885,27.503107,0.0
23.748032,14.715588,0.0
-22.832232,2.592574,0.0
-37.22483,-46.920013,1.0
46.09938,-22.631287,1.0
15.846547,-32.670578,1.0
54.66844,22.234165,0.0
-10.793819,-37.02335,0.0
-36.694588,60.71075,0.0
-8.292746,-23.6353,0.0
-26.309505,21.433971,0.0
-24.690306,32.72288,0.0
-2.2802753,27.264017,0.0
38.884365,-18.56505,1.0
-10.032602,-6.7069626,0.0
-29.135801,29.044275,0.0
42.601868,-6.4235477,0.0
-7.8449106,-7.343389,0.0
26.326193,-0.510142,0.0
22.57688,-54.102913,0.0
3.561591,-30.331728,0.0
-4.9068637,50.25888,1.0
-33.606503,-39.392128,0.0
54.97895,-23.651333,0.0
-43.319805,24.720543,0.0
-33.760303,15.315249,0.0
-0.38210034,12.542891,0.0
-23.581198,-16.993614,0.0
-46.539967,-14.11111,0.0
59.80572,12.378322,0.0
-3.8599987,16.024368,0.0
3.7113655,-18.629902,0.0
-31.58138,26.709188,1.0
30.148191,24.118876,0.0
28.417765,-28.09401,0.0
3.6131735,-51.854843,0.0
1.5367361,-51.539276,0.0
39.89241,7.4920316,0.0
5.7784853,-21.423979,0.0
51.50073,10.956822,1.0
-50.691395,42.44144,0.0
23.091557,31.824018,0.0
37.60074,33.30397,0.0
41.63838,-31.852245,1.0
-24.793804,30.493227,0.0
46.21271,-24.593771,1.0
60.469036,16.353842,0.0
20.143156,-36.06167,0.0
-40.613632,26.33721,0.0
13.885307,-27.515623,0.0
-30.450624,-10.468102,0.0
-11.626017,10.51992,0.0
10.756428,3.1667926,0.0
19.735012,-54.53238,0.0
-29.75431,32.301006,1.0
-22.754688,-5.793288,0.0
48.42982,-6.837843,1.0
-9.104367,-33.766747,0.0
-1.3385437,51.650944,0.0
18.87318,-18.723505,0.0
47.98314,-21.744284,1.0
46.41853,-22.361624,1.0
12.194278,22.812523,0.0
-16.175173,32.414692,0.0
-2.3125284,7.1005707,0.0
-50.153175,22.743973,1.0
-6.8679447,-53.3444,1.0
1.4325608,-64.25951,1.0
39.510086,-22.778782,0.0
44.490932,10.485904,0.0
25.582958,11.673271,0.0
0.9690615,-59.659393,0.0
-43.203392,17.277405,0.0
-25.917263,-10.464598,1.0
39.980442,-4.477622,0.0
-61.621887,17.491293,0.0
6.853895,16.157314,0.0
17.082186,-45.179657,1.0
26.06845,23.596172,0.0
-11.141134,-29.915533,1.0
-30.588427,52.1369,1.0
-0.43836686,9.086001,0.0
38.30781,-33.1922,0.0
-3.500013,-53.59513,0.0
-27.302158,31.298828,0.0
39.694855,-4.525703,0.0
14.867525,-30.774378,0.0
-46.090748,24.18859,1.0
15.672323,28.7528,0.0
-17.288252,46.53176,0.0
