Epoch,Validation_F1,Model,Features
1,0.9472,MLP,Vector
2,0.9626,MLP,Vector
3,0.9680,MLP,Vector
4,0.9683,MLP,Vector
5,0.9717,MLP,Vector
6,0.9739,MLP,Vector
7,0.9722,MLP,Vector
8,0.9717,MLP,Vector
9,0.9752,MLP,Vector
10,0.9780,MLP,Vector
11,0.9757,MLP,Vector
12,0.9740,MLP,Vector
13,0.9738,MLP,Vector
14,0.9788,MLP,Vector
15,0.9748,MLP,Vector
16,0.9806,MLP,Vector
17,0.9778,MLP,Vector
18,0.9763,MLP,Vector
19,0.9770,MLP,Vector
20,0.9775,MLP,Vector
21,0.9798,MLP,Vector
22,0.9781,MLP,Vector
23,0.9747,MLP,Vector
24,0.9803,MLP,Vector
25,0.9797,MLP,Vector
26,0.9770,MLP,Vector
27,0.9796,MLP,Vector
28,0.9783,MLP,Vector
29,0.9807,MLP,Vector
30,0.9780,MLP,Vector
1,0.9509,LSTM,Vector
2,0.9618,LSTM,Vector
3,0.9677,LSTM,Vector
4,0.9694,LSTM,Vector
5,0.9638,LSTM,Vector
6,0.9677,LSTM,Vector
7,0.9756,LSTM,Vector
8,0.9780,LSTM,Vector
9,0.9775,LSTM,Vector
10,0.9717,LSTM,Vector
11,0.9804,LSTM,Vector
12,0.9789,LSTM,Vector
13,0.9779,LSTM,Vector
14,0.9816,LSTM,Vector
15,0.9736,LSTM,Vector
16,0.9822,LSTM,Vector
17,0.9762,LSTM,Vector
18,0.9840,LSTM,Vector
19,0.9812,LSTM,Vector
20,0.9761,LSTM,Vector
21,0.9707,LSTM,Vector
22,0.9761,LSTM,Vector
23,0.9800,LSTM,Vector
24,0.9813,LSTM,Vector
25,0.9836,LSTM,Vector
26,0.9826,LSTM,Vector
27,0.9795,LSTM,Vector
28,0.9799,LSTM,Vector
29,0.9834,LSTM,Vector
30,0.9822,LSTM,Vector
1,0.9459,LSTM,GA
2,0.9620,LSTM,GA
3,0.9658,LSTM,GA
4,0.9730,LSTM,GA
5,0.9717,LSTM,GA
6,0.9739,LSTM,GA
7,0.9771,LSTM,GA
8,0.9780,LSTM,GA
9,0.9721,LSTM,GA
10,0.9794,LSTM,GA
11,0.9755,LSTM,GA
12,0.9756,LSTM,GA
13,0.9743,LSTM,GA
14,0.9806,LSTM,GA
15,0.9799,LSTM,GA
16,0.9770,LSTM,GA
17,0.9791,LSTM,GA
18,0.9799,LSTM,GA
19,0.9798,LSTM,GA
20,0.9760,LSTM,GA
21,0.9802,LSTM,GA
22,0.9774,LSTM,GA
23,0.9814,LSTM,GA
24,0.9796,LSTM,GA
25,0.9810,LSTM,GA
26,0.9820,LSTM,GA
27,0.9767,LSTM,GA
28,0.9835,LSTM,GA
29,0.9806,LSTM,GA
30,0.9819,LSTM,GA
1,0.9464,LSTM,Hybrid
2,0.9592,LSTM,Hybrid
3,0.9702,LSTM,Hybrid
4,0.9713,LSTM,Hybrid
5,0.9682,LSTM,Hybrid
6,0.9703,LSTM,Hybrid
7,0.9772,LSTM,Hybrid
8,0.9750,LSTM,Hybrid
9,0.9756,LSTM,Hybrid
10,0.9777,LSTM,Hybrid
11,0.9797,LSTM,Hybrid
12,0.9786,LSTM,Hybrid
13,0.9778,LSTM,Hybrid
14,0.9822,LSTM,Hybrid
15,0.9792,LSTM,Hybrid
16,0.9751,LSTM,Hybrid
17,0.9797,LSTM,Hybrid
18,0.9819,LSTM,Hybrid
19,0.9815,LSTM,Hybrid
20,0.9812,LSTM,Hybrid
21,0.9811,LSTM,Hybrid
22,0.9813,LSTM,Hybrid
23,0.9824,LSTM,Hybrid
24,0.9812,LSTM,Hybrid
25,0.9810,LSTM,Hybrid
26,0.9830,LSTM,Hybrid
27,0.9838,LSTM,Hybrid
28,0.9834,LSTM,Hybrid
29,0.9802,LSTM,Hybrid
30,0.9826,LSTM,Hybrid
